field,Author,Source,Quote
Movie Peace,William Munny (Clint Eastwood),Unforgiven (1992),"We've all got it coming, kid."
Movie Peace,Roy Batty (Rutger Hauer),Blade Runner (1982),"All those moments will be lost in time, like tears in rain. Time to die."
Movie Peace,Maximus (Russell Crowe),Gladiator (2000),"Death smiles at us all. All a man can do is smile back."
Movie Peace,Yoda,Star Wars: Return of the Jedi (1983),"Death is a natural part of life. Rejoice for those around you who transform into the Force. Mourn them, do not. Miss them, do not."
Movie Peace,Gandalf,The Lord of the Rings: The Fellowship of the Ring (2001),"All we have to decide is what to do with the time that is given to us."
Movie Peace,The Schofield Kid,Unforgiven (1992),"I don't deserve this... to die like this." William Munny: "Deserve's got nothin' to do with it."
Movie Peace,Antonius Block (Max von Sydow),The Seventh Seal (1957),"Who are you?" Death: "I am Death."
Movie Peace,John Keating (Robin Williams),Dead Poets Society (1989),"Carpe diem. Seize the day, boys. Make your lives extraordinary." (in context of life's brevity)
Movie Peace,Mufasa,The Lion King (1994),"Remember who you are."
Movie Peace,Jack Dawson (Leonardo DiCaprio),Titanic (1997),"You must promise me that you'll survive... that you won't give up, no matter what happens."
Movie Peace,Hazel Grace Lancaster,The Fault in Our Stars (2014),"Some infinities are bigger than other infinities... I wouldn't trade it for the world. You gave me a forever within the numbered days."
Movie Peace,William Wallace (Mel Gibson),Braveheart (1995),"Every man dies, not every man really lives."
Movie Peace,Colonel Kurtz (Marlon Brando),Apocalypse Now (1979),"The horror... the horror."
Movie Peace,Boromir (Sean Bean),The Lord of the Rings: The Fellowship of the Ring (2001),"I would have followed you, my brother... my captain... my king."
Movie Peace,Wil Andersen (John Wayne),The Cowboys (1972),"Death can come for you anyplace, anytime. It's never welcome, but if you've done all you can do... you're ready for him."
Movie Peace,Mr. Incredible,Bob Parr,The Incredibles (2004),"We're all gonna die, all of us!"
Movie Peace,Dr. King Schultz (Christoph Waltz),Django Unchained (2012),"I'm sorry, I couldn't resist."
Movie Peace,Logan (Hugh Jackman),Logan (2017),"So we finish it. There's no living with it. I know what I've done."
Movie Peace,Thanos (Josh Brolin),Avengers: Endgame (2019),"I am... inevitable."
Movie Peace,Deckard (Harrison Ford),Blade Runner (1982),"I watched him die all night... He never quit. He took all the time he had, as though he loved life very much."
Movie Peace,Atticus Finch (Gregory Peck),To Kill a Mockingbird (1962),"The one thing that doesn't abide by majority rule is a person's conscience." (in broader mortality context)
Movie Peace,Andy Dufresne (Tim Robbins),The Shawshank Redemption (1994),"Get busy living, or get busy dying."
Movie Peace,Ellis "Red" Redding (Morgan Freeman),The Shawshank Redemption (1994),"I hope I can make it across the border. I hope to see my friend and shake his hand. I hope the Pacific is as blue as it has been in my dreams."
Movie Peace,Vito Corleone (Marlon Brando),The Godfather (1972),"A man who doesn't spend time with his family can never be a real man." (amid themes of mortality)
Movie Peace,Forrest Gump (Tom Hanks),Forrest Gump (1994),"I don't know if we each have a destiny, or if we're all just floatin' around accidental-like on a breeze. But I think maybe it's both."
Movie Peace,The Joker (Heath Ledger),The Dark Knight (2008),"Introduce a little anarchy. Upset the established order, and everything becomes chaos. I'm an agent of chaos." (embracing inevitable destruction)
Movie Peace,Obi-Wan Kenobi (Alec Guinness),Star Wars: A New Hope (1977),"If you strike me down, I shall become more powerful than you can possibly imagine."
Movie Peace,Samantha (voice of Scarlett Johansson),Her (2013),"The past is just a story we tell ourselves."
Movie Peace,Donnie Darko (Jake Gyllenhaal),Donnie Darko (2001),"Why are you wearing that stupid man suit?"
Movie Peace,Captain Miller (Tom Hanks),Saving Private Ryan (1998),"Earn this."
Movie Peace,Theoden (Bernard Hill),The Lord of the Rings: The Return of the King (2003),"Death!"
Movie Peace,E.T.,E.T. the Extra-Terrestrial (1982),"E.T. phone home." (as acceptance of departure)
Movie Peace,Bing Bong (Richard Kind),Inside Out (2015),"Take her to the moon for me, okay?"
