Type,Author,Source,Text
Stoic Peace,Marcus Aurelius,"Book 1, Section 1, Meditations","I learned from my grandfather, Verus, to use good manners, and to put restraint on anger."
Stoic Peace,Marcus Aurelius,"Book 1, Section 2, Meditations",In the famous memory of my father I had a pattern of modesty and manliness.
Stoic Peace,Marcus Aurelius,"Book 1, Section 3, Meditations","Of my mother I learned to be pious and generous; to keep myself not only from evil deeds, but even from evil thoughts; and to live with a simplicity which is far from customary among the rich."
Stoic Peace,Marcus Aurelius,"Book 1, Section 4, Meditations","I owe it to my great-grandfather that I did not attend public lectures and discussions, but had good and able teachers at home; and I owe him also the knowledge that for things of this nature a man should count no expense too great."
Stoic Peace,Marcus Aurelius,"Book 1, Section 5, Meditations","My tutor taught me not to favour either green or blue at the chariot races, nor, in the contests of gladiators, to be a supporter either of light or heavy armed. He taught me also to endure labour; not to need many things; to serve myself without troubling others; not to intermeddle in the affairs of others, and not easily to listen to slanders against them."
Stoic Peace,Marcus Aurelius,"Book 1, Section 6, Meditations","Of Diognetus I had the lesson not to busy myself about vain things; not to credit the great professions of such as pretend to work wonders, or of sorcerers about their charms, and their expelling of Demons and the like; not to keep quails (for fighting or divination), nor to run after such things; to suffer freedom of speech in others, and to apply myself heartily to philosophy. Him also I must thank for my hearing first Bacchius, then Tandasis and Marcianus; that I wrote dialogues in my youth, and took a liking to the philosopher's pallet and skins, and to the other things which, by the Grecian discipline, belong to that profession."
Stoic Peace,Marcus Aurelius,"Book 1, Section 7, Meditations","To Rusticus I owe my first apprehensions that my nature needed reform and cure; and that I did not fall into the ambition of the common Sophists, either by composing speculative writings or by declaiming harangues of exhortation in public; further, that I never strove to be admired by ostentation of great patience in an ascetic life, or by display of activity and application; that I gave over the study of rhetoric, poetry, and the graces of language; and that I did not pace my house in my senatorial robes, or practise any similar affectation. I observed also the simplicity of style in his letters, particularly in that which he wrote to my mother from Sinuessa. I learned from him to be easily appeased, and to be readily reconciled with those who had displeased me or given cause of offence, so soon as they inclined to make their peace; to read with care; not to rest satisfied with a slight and superficial knowledge; nor quickly to assent to great talkers. I have him to thank that I met with the discourses of Epictetus, which he furnished me from his own library."
Stoic Peace,Marcus Aurelius,"Book 1, Section 8, Meditations","From Apollonius I learned true liberty, and tenacity of purpose; to regard nothing else, even in the smallest degree, but reason always; and always to remain unaltered in the agonies of pain, in the losses of children, or in long diseases. He afforded me a living example of how the same man can, upon occasion, be most yielding and most inflexible. He was patient in exposition; and, as might well be seen, esteemed his fine skill and ability in teaching others the principles of philosophy as the least of his endowments. It was from him that I learned how to receive from friends what are thought favours without seeming humbled by the giver or insensible to the gift."
Stoic Peace,Marcus Aurelius,"Book 1, Section 9, Meditations","Sextus was my pattern of a benign temper, and his family the model of a household governed by true paternal affection, and a steadfast purpose of living according to nature. Here I could learn to be grave without affectation, to observe sagaciously the several dispositions and inclinations of my friends, to tolerate the ignorant and those who follow current opinions without examination. His conversation showed how a man may accommodate himself to all men and to all companies; for though companionship with him was sweeter and more pleasing than any sort of flattery, yet he was at the same time highly respected and reverenced. No man was ever more happy than he in comprehending, finding out, and arranging in exact order the great maxims necessary for the conduct of life. His example taught me to suppress even the least appearance of anger or any other passion; but still, with all this perfect tranquillity, to possess the tenderest and most affectionate heart; to be apt to approve others yet without noise; to have much learning and little ostentation."
Stoic Peace,Marcus Aurelius,"Book 1, Section 10, Meditations","I learned from Alexander the Grammarian to avoid censuring others, to refrain from flouting them for a barbarism, solecism, or any false pronunciation. Rather was I dexterously to pronounce the words rightly in my answer, confining approval or objection to the matter itself, and avoiding discussion of the expression, or to use some other form of courteous suggestion."
